u,v,key,name,highway,length
958136015,8745909513,0,,residential,32.23162299233407
958136017,958136015,0,Olgunlar Sokağı,residential,38.80649880357725
958136017,958136047,0,Lavanta Çiçeği Sokağı,residential,66.62032825257509
958136024,958136036,0,"['Alem Sokağı', 'Pelinli Sokağı']",residential,141.66553819976065
958136024,909194333,0,İncirli Kavşağı,primary_link,127.11900526082093
958136029,958136047,0,Lavanta Sokağı,residential,48.801897362490045
958136029,958136017,0,Alem Sokağı,residential,47.123887523980315
958136029,9346982261,0,Alem Sokağı,residential,41.118188169954614
958136036,10705338489,0,Alpay İzer Sokağı,residential,102.22563750470977
958136036,958405708,0,Pelinli Sokağı,residential,65.46560749645054
958136036,958405432,0,Alpay İzer Sokağı,residential,73.94205069771462
958136047,958136029,0,Lavanta Sokağı,residential,48.801897362490045
958136047,958136036,0,Lavanta Çiçeği Sokağı,residential,77.23251149277891
958136102,5777925709,0,D-100 Güney Yanyolu,primary,296.07577139877213
958136239,958136102,0,D-100 Güney Yanyolu,primary,91.73794647545813
958136239,958404971,0,,primary_link,495.8044685308228
958136383,2364065047,0,,primary_link,217.27758969565272
958136383,968158074,0,Çobançeşme Koşuyolu Bulvarı,primary,296.96049075589445
958404936,958404939,0,,tertiary_link,14.443650497957885
958404936,968158282,0,İsmail Erez Bulvarı,tertiary,235.66733220293315
958404939,958404946,0,,primary_link,36.237705006905905
958404939,958404971,0,İsmail Erez Bulvarı,tertiary,46.61320645993613
958404946,958136102,0,,primary_link,464.1265922157669
958404971,958405649,0,İsmail Erez Bulvarı,tertiary,36.28639100620301
958405050,958405158,0,Başarı Sokağı,residential,60.357798674263435
958405050,958405054,0,,residential,63.70961066035237
958405054,958405074,0,,residential,58.72348226845853
958405054,958405057,0,,residential,126.08054683258709
958405054,958405050,0,,residential,63.70961066035237
958405054,958405083,0,,residential,174.78219005947625
958405057,958702735,0,Yunus Nadi Sokağı,tertiary,17.928744676262802
958405057,958405054,0,,residential,126.08054683258709
958405057,958405211,0,Yunus Nadi Sokağı,tertiary,57.11481958587504
958405065,958702684,0,,residential,160.3485833336175
958405065,13736826264,0,Tez Sokağı,tertiary,40.53733055607608
958405065,958702676,0,Tez Sokağı,tertiary,105.58991641566301
958405070,958702684,0,,residential,14.785588415622563
958405070,958405074,0,,residential,82.54772512560358
958405070,958405255,0,Ahmet Doğan Yılmaz Sokağı,tertiary,88.89680941038587
958405074,958405054,0,,residential,58.72348226845853
958405074,958405211,0,Agah Efendi Sokağı,tertiary,135.15062692400545
958405074,958405070,0,,residential,82.54772512560358
958405083,958405054,0,,residential,174.78219005947622
958405083,958702735,0,Yunus Nadi Sokağı,tertiary,48.551891199695696
958405083,958405232,0,Yunus Nadi Sokağı,tertiary,212.8560919090528
958405093,958405095,0,,living_street,91.83334384209304
958405095,958405093,0,,living_street,91.83334384209304
958405095,958406151,0,Necmettin Sadak Sokağı,living_street,66.78548078830511
958405095,958405162,0,Necmettin Sadak Sokağı,living_street,68.26336825054634
958405109,2381937670,0,Suna Sokağı,residential,119.35681286772041
958405109,4586888655,0,Suna Sokağı,residential,17.058555571437637
958405109,958405259,0,,tertiary,37.534514660219735
958405113,2381937670,0,Olgunlar Sokağı,tertiary,11.121183791745986
958405120,958404946,0,,primary_link,56.92800915322111
958405120,958404939,0,İsmail Erez Bulvarı,tertiary,46.63753868618663
958405158,958405074,0,Agah Efendi Sokağı,tertiary,59.843760421353295
958405158,958405478,0,Olgunlar Sokağı,tertiary,92.53216235317316
958405160,958405050,0,Başarı Sokağı,residential,40.23582634344999
958405162,958405160,0,Başarı Sokağı,residential,74.27333006541208
958405162,958406146,0,Pembe Ay Sokağı,residential,92.09007647316561
958405162,958405095,0,Necmettin Sadak Sokağı,living_street,68.26336825054634
958405173,958405162,0,Başarı Sokağı,residential,67.4290720751436
958405175,958405173,0,Başarı Sokağı,residential,59.14603905042542
958405175,958405188,0,,residential,90.80365974837952
958405179,958405736,0,,secondary_link,7.966444302195002
958405179,958405175,0,Başarı Sokağı,residential,50.147565652855704
958405179,958405488,0,İncirli Caddesi,secondary,98.2282210936024
958405184,958405486,0,Sayfiye Sokağı,residential,103.24408062767168
958405184,958406139,0,Aydın Yuva Sokağı,residential,74.9687528606938
958405188,958405488,0,Ahu Sokağı,tertiary,49.462078716511805
958405203,958405070,0,Ahmet Doğan Yılmaz Sokağı,tertiary,180.51783184879457
958405203,958702679,0,Yunus Nadi Sokağı,tertiary,56.213060982402226
958405211,958405057,0,Yunus Nadi Sokağı,tertiary,57.11481958587504
958405211,958405203,0,Yunus Nadi Sokağı,tertiary,138.5919154970756
958405232,2365290891,0,İncirli Caddesi,secondary,41.699225311209005
958405255,958405259,0,Ahmet Doğan Yılmaz Sokağı,tertiary,82.41416709764148
958405255,13736826264,0,Tez Sokağı,tertiary,120.67523955877311
958405259,958405470,0,Sugözü Sokağı,residential,38.39233562785727
958405259,958405478,0,Ahu Sokağı,tertiary,121.9322526585622
958405259,958405109,0,,tertiary,37.53451466021973
958405297,958405321,0,Haksever Sokağı,residential,67.09268471062882
958405297,958405373,0,Çağ Sokağı,residential,82.09712217030315
958405297,11006314365,0,Çetiner Sokağı,residential,62.65599506496959
958405314,958405381,0,,secondary,74.4080955971983
958405317,958405314,0,Gülderen Sokağı,residential,65.29099150263897
958405317,958405380,0,Yolbaşı Sokağı,residential,63.85855690757002
958405321,958405333,0,Haksever Sokağı,residential,72.22827998119018
958405321,958405317,0,Gülderen Sokağı,residential,97.0700704814112
958405327,9769272789,0,İncirli Caddesi,secondary,65.37486948235694
958405327,958405321,0,Gülderen Sokağı,residential,75.37986475096753
958405333,958405334,0,Haksever Sokağı,residential,92.72357395993721
958405333,9769272789,0,Tatlı Nar Sokağı,residential,50.68065619813564
958405334,2365290898,0,Haksever Sokağı,residential,79.47662219901773
958405334,13891516134,0,Turanlı Sokağı,residential,123.89529772476955
958405334,958405490,0,Turanlı Sokağı,residential,49.52594361557014
958405352,958703113,0,Karabal Caddesi,tertiary,65.31932317770736
958405352,958702973,0,Karabal Caddesi,tertiary,100.131932100435
958405373,958405327,0,İncirli Caddesi,secondary,63.54884743588107
958405380,958405297,0,Çağ Sokağı,residential,82.73718917630816
958405380,958405381,0,Çağ Sokağı,residential,67.64206190133217
958405383,958405317,0,Yolbaşı Sokağı,residential,62.619213674206364
958405383,958405333,0,Tatlı Nar Sokağı,residential,131.43632225428027
958405385,958405747,0,Dr. Tevfik Sağlam,secondary,52.44845732892475
958405385,958405383,0,Yolbaşı Sokağı,residential,69.91058743043328
958405392,958405385,0,Karabal Caddesi,tertiary,15.635008469899276
958405392,9769272792,0,,secondary,172.03413636766956
958405403,958405392,0,,secondary,8.713583810928386
958405403,958405352,0,Karabal Caddesi,tertiary,153.91532921175147
958405417,958405383,0,Tatlı Nar Sokağı,residential,64.09648913756783
958405417,958405314,0,,secondary,62.17994111573722
958405432,958405938,0,Alpay İzer Sokağı,residential,72.05171527690293
958405432,958136036,0,Alpay İzer Sokağı,residential,73.94205069771462
958405432,11579057577,0,Pembe Ay Sokağı,residential,63.181452904068394
958405450,958405458,0,Yeşilsu Sokağı,residential,52.37386135222947
958405450,968158244,0,Yeşilsu Sokağı,residential,42.96301341420865
958405450,968158241,0,Mescit Sokağı,residential,96.0920622248629
958405458,13736826260,0,Sugözü Sokağı,residential,5.4066714909880575
958405458,958405450,0,Yeşilsu Sokağı,residential,52.37386135222947
958405458,958405470,0,Sugözü Sokağı,residential,149.39202932054187
958405470,958405259,0,Sugözü Sokağı,residential,38.39233562785727
958405470,958702696,0,,residential,87.00096765187982
958405470,958405458,0,Sugözü Sokağı,residential,149.39202932054187
958405478,958405480,0,Ahu Sokağı,tertiary,18.096347899694727
958405478,958405113,0,Olgunlar Sokağı,tertiary,16.908421676595843
958405480,958405482,0,Ahu Sokağı,tertiary,87.22434366841989
958405482,958405160,0,Pelinli Sokağı,residential,93.10689664057037
958405482,958406146,0,Ahu Sokağı,tertiary,71.99796551461905
958405486,958405173,0,Sayfiye Sokağı,residential,91.28836687503612
958405486,958405188,0,Ahu Sokağı,tertiary,56.46371162439228
